(base) robertselwyn:src on main [!?]$ python3 new_cfr_full_range.py 
0
PRINTING HAND INFORMATION
-------- ITER 0 -------
/Users/robertselwyn/Desktop/Stanford/cs/cs238/final_proj/src/new_cfr_full_range.py:34: RuntimeWarning: divide by zero encountered in double_scalars
  display_results(expected_game_value / a, i_map)
player 1 expected value: inf
player 2 expected value: -inf

4s4c rrc ['0.50', '0.50']
4s5c rrb ['0.50', '0.50']
4s5c rrc ['0.50', '0.50']
4s5h rrb ['0.50', '0.50']
4s5h rrc ['0.50', '0.50']
4s5s rrb ['0.50', '0.50']
4s5s rrc ['0.50', '0.50']
4s6c rrb ['0.50', '0.50']
4s6c rrc ['0.50', '0.50']
4s6h rrb ['0.50', '0.50']
4s6h rrc ['0.50', '0.50']
4s6s rrb ['0.50', '0.50']
4s6s rrc ['0.50', '0.50']
4s7c rrb ['0.50', '0.50']
4s7c rrc ['0.50', '0.50']
4s7h rrb ['0.50', '0.50']
4s7h rrc ['0.50', '0.50']
4s7s rrb ['0.50', '0.50']
4s7s rrc ['0.50', '0.50']
4s8c rrb ['0.50', '0.50']
4s8c rrc ['0.50', '0.50']
4s8h rrb ['0.50', '0.50']
4s8h rrc ['0.50', '0.50']
4s8s rrb ['0.50', '0.50']
4s8s rrc ['0.50', '0.50']
4s9c rrb ['0.50', '0.50']
4s9c rrc ['0.50', '0.50']
4s9h rrb ['0.50', '0.50']
4s9h rrc ['0.50', '0.50']
4s9s rrb ['0.50', '0.50']
4s9s rrc ['0.50', '0.50']
4sAc rrb ['0.50', '0.50']
4sAc rrc ['0.50', '0.50']
4sAh rrb ['0.50', '0.50']
4sAh rrc ['0.50', '0.50']
4sAs rrb ['0.50', '0.50']
4sAs rrc ['0.50', '0.50']
4sJc rrb ['0.50', '0.50']
4sJc rrc ['0.50', '0.50']
4sJh rrb ['0.50', '0.50']
4sJh rrc ['0.50', '0.50']
4sJs rrb ['0.50', '0.50']
4sJs rrc ['0.50', '0.50']
4sKc rrb ['0.50', '0.50']
4sKc rrc ['0.50', '0.50']
4sKh rrb ['0.50', '0.50']
4sKh rrc ['0.50', '0.50']
4sKs rrb ['0.50', '0.50']
4sKs rrc ['0.50', '0.50']
4sQc rrb ['0.50', '0.50']
4sQc rrc ['0.50', '0.50']
4sQh rrb ['0.50', '0.50']
4sQh rrc ['0.50', '0.50']
4sQs rrb ['0.50', '0.50']
4sQs rrc ['0.50', '0.50']
4sTc rrb ['0.50', '0.50']
4sTc rrc ['0.50', '0.50']
4sTh rrb ['0.50', '0.50']
4sTh rrc ['0.50', '0.50']
4sTs rrb ['0.50', '0.50']
4sTs rrc ['0.50', '0.50']
5c5d rrb ['0.50', '0.50']
5c5d rrc ['0.50', '0.50']
5c6c rrb ['0.50', '0.50']
5c6c rrc ['0.50', '0.50']
5c6h rrb ['0.50', '0.50']
5c6h rrc ['0.50', '0.50']
5c7c rrb ['0.50', '0.50']
5c7c rrc ['0.50', '0.50']
5c7h rrb ['0.50', '0.50']
5c7h rrc ['0.50', '0.50']
5c8c rrb ['0.50', '0.50']
5c8c rrc ['0.50', '0.50']
5c8h rrb ['0.50', '0.50']
5c8h rrc ['0.50', '0.50']
5c9c rrb ['0.50', '0.50']
5c9c rrc ['0.50', '0.50']
5c9h rrb ['0.50', '0.50']
5c9h rrc ['0.50', '0.50']
5cAc rrb ['0.50', '0.50']
5cAc rrc ['0.50', '0.50']
5cAh rrb ['0.50', '0.50']
5cAh rrc ['0.50', '0.50']
5cJc rrb ['0.50', '0.50']
5cJc rrc ['0.50', '0.50']
5cJh rrb ['0.50', '0.50']
5cJh rrc ['0.50', '0.50']
5cKc rrb ['0.50', '0.50']
5cKc rrc ['0.50', '0.50']
5cKh rrb ['0.50', '0.50']
5cKh rrc ['0.50', '0.50']
5cQc rrb ['0.50', '0.50']
5cQc rrc ['0.50', '0.50']
5cQh rrb ['0.50', '0.50']
5cQh rrc ['0.50', '0.50']
5cTc rrb ['0.50', '0.50']
5cTc rrc ['0.50', '0.50']
5cTh rrb ['0.50', '0.50']
5cTh rrc ['0.50', '0.50']
5h5c rrb ['0.50', '0.50']
5h5c rrc ['0.50', '0.50']
5h5s rrb ['0.50', '0.50']
5h5s rrc ['0.50', '0.50']
5h6c rrb ['0.50', '0.50']
5h6c rrc ['0.50', '0.50']
5h6h rrb ['0.50', '0.50']
5h6h rrc ['0.50', '0.50']
5h6s rrb ['0.50', '0.50']
5h6s rrc ['0.50', '0.50']
5h7c rrb ['0.50', '0.50']
5h7c rrc ['0.50', '0.50']
5h7h rrb ['0.50', '0.50']
5h7h rrc ['0.50', '0.50']
5h7s rrb ['0.50', '0.50']
5h7s rrc ['0.50', '0.50']
5h8c rrb ['0.50', '0.50']
5h8c rrc ['0.50', '0.50']
5h8h rrb ['0.50', '0.50']
5h8h rrc ['0.50', '0.50']
5h8s rrb ['0.50', '0.50']
5h8s rrc ['0.50', '0.50']
5h9c rrb ['0.50', '0.50']
5h9c rrc ['0.50', '0.50']
5h9h rrb ['0.50', '0.50']
5h9h rrc ['0.50', '0.50']
5h9s rrb ['0.50', '0.50']
5h9s rrc ['0.50', '0.50']
5hAc rrb ['0.50', '0.50']
5hAc rrc ['0.50', '0.50']
5hAh rrb ['0.50', '0.50']
5hAh rrc ['0.50', '0.50']
5hAs rrb ['0.50', '0.50']
5hAs rrc ['0.50', '0.50']
5hJc rrb ['0.50', '0.50']
5hJc rrc ['0.50', '0.50']
5hJh rrb ['0.50', '0.50']
5hJh rrc ['0.50', '0.50']
5hJs rrb ['0.50', '0.50']
5hJs rrc ['0.50', '0.50']
5hKc rrb ['0.50', '0.50']
5hKc rrc ['0.50', '0.50']
5hKh rrb ['0.50', '0.50']
5hKh rrc ['0.50', '0.50']
5hKs rrb ['0.50', '0.50']
5hKs rrc ['0.50', '0.50']
5hQc rrb ['0.50', '0.50']
5hQc rrc ['0.50', '0.50']
5hQh rrb ['0.50', '0.50']
5hQh rrc ['0.50', '0.50']
5hQs rrb ['0.50', '0.50']
5hQs rrc ['0.50', '0.50']
5hTc rrb ['0.50', '0.50']
5hTc rrc ['0.50', '0.50']
5hTh rrb ['0.50', '0.50']
5hTh rrc ['0.50', '0.50']
5hTs rrb ['0.50', '0.50']
5hTs rrc ['0.50', '0.50']
5s5c rrb ['0.50', '0.50']
5s5c rrc ['0.50', '0.50']
5s6c rrb ['0.50', '0.50']
5s6c rrc ['0.50', '0.50']
5s6h rrb ['0.50', '0.50']
5s6h rrc ['0.50', '0.50']
5s6s rrb ['0.50', '0.50']
5s6s rrc ['0.50', '0.50']
5s7c rrb ['0.50', '0.50']
5s7c rrc ['0.50', '0.50']
5s7h rrb ['0.50', '0.50']
5s7h rrc ['0.50', '0.50']
5s7s rrb ['0.50', '0.50']
5s7s rrc ['0.50', '0.50']
5s8c rrb ['0.50', '0.50']
5s8c rrc ['0.50', '0.50']
5s8h rrb ['0.50', '0.50']
5s8h rrc ['0.50', '0.50']
5s8s rrb ['0.50', '0.50']
5s8s rrc ['0.50', '0.50']
5s9c rrb ['0.50', '0.50']
5s9c rrc ['0.50', '0.50']
5s9h rrb ['0.50', '0.50']
5s9h rrc ['0.50', '0.50']
5s9s rrb ['0.50', '0.50']
5s9s rrc ['0.50', '0.50']
5sAc rrb ['0.50', '0.50']
5sAc rrc ['0.50', '0.50']
5sAh rrb ['0.50', '0.50']
5sAh rrc ['0.50', '0.50']
5sAs rrb ['0.50', '0.50']
5sAs rrc ['0.50', '0.50']
5sJc rrb ['0.50', '0.50']
